step,epoch,loss
1,1,1.079068
2,1,1.079077
3,1,1.071287
4,1,1.060841
5,1,1.056634
6,1,1.042634
7,1,1.038542
8,1,1.028205
9,1,1.016244
10,1,1.002901
11,1,0.992750
12,1,0.984595
13,1,0.971149
14,1,0.955322
15,1,0.948576
16,1,0.931866
17,1,0.933583
18,1,0.915901
19,1,0.894491
20,1,0.878651
21,1,0.857859
22,1,0.854434
23,1,0.835227
24,1,0.827593
25,1,0.805493
26,1,0.788724
27,1,0.776653
28,1,0.757044
29,1,0.748702
30,1,0.718674
31,1,0.717909
32,1,0.684361
33,1,0.678433
34,1,0.653785
35,1,0.630713
36,1,0.602316
37,1,0.590779
38,1,0.588074
39,1,0.560629
40,1,0.533702
41,1,0.524637
42,1,0.509910
43,1,0.472306
44,1,0.467839
45,1,0.438049
46,1,0.449502
47,1,0.401497
48,1,0.416583
49,1,0.390561
50,1,0.382850
51,1,0.360687
52,1,0.339910
53,1,0.332370
54,1,0.312149
55,1,0.293063
56,1,0.295332
57,1,0.273206
58,1,0.265864
59,1,0.269204
60,1,0.235987
61,1,0.238011
62,1,0.230859
63,1,0.234515
64,1,0.220947
65,1,0.225705
66,1,0.216825
67,1,0.218915
68,1,0.202334
69,1,0.255221
70,1,0.224121
71,1,0.204136
72,1,0.220289
73,1,0.207578
74,1,0.202501
75,1,0.220466
76,1,0.184616
77,1,0.176589
78,1,0.182785
79,1,0.196240
80,1,0.166992
81,1,0.192201
82,1,0.190604
83,1,0.171613
84,1,0.188078
85,1,0.204082
86,1,0.168719
87,1,0.160557
88,1,0.151292
89,1,0.166022
90,1,0.165272
91,1,0.173376
92,1,0.157540
93,1,0.152623
94,1,0.177074
95,1,0.188265
96,1,0.157973
97,1,0.180451
98,1,0.170928
99,1,0.130986
100,1,0.162405
101,1,0.183608
102,1,0.148839
103,1,0.171191
104,1,0.154826
105,1,0.127366
106,1,0.163459
107,1,0.131804
108,1,0.150151
109,1,0.148608
110,1,0.151726
111,1,0.163510
112,1,0.143935
113,1,0.171066
114,1,0.154101
115,1,0.161587
116,1,0.144716
117,1,0.150821
118,1,0.151208
119,1,0.166667
120,1,0.157128
121,1,0.128777
122,1,0.124744
123,1,0.163290
124,1,0.150005
125,1,0.143495
126,1,0.154153
127,1,0.164608
128,1,0.137064
129,1,0.147192
130,1,0.129939
131,1,0.148879
132,1,0.147006
133,1,0.145415
134,1,0.135180
135,1,0.131024
136,1,0.145124
137,1,0.144959
138,1,0.166260
139,1,0.117899
140,1,0.139405
141,1,0.153486
142,1,0.115620
143,1,0.132355
144,1,0.107792
145,1,0.141997
146,1,0.131342
147,1,0.127473
148,1,0.109325
149,1,0.118431
150,1,0.124648
151,1,0.113697
152,1,0.115093
153,1,0.136012
154,1,0.143244
155,1,0.136125
156,1,0.125180
157,1,0.114256
158,1,0.117734
159,1,0.119733
160,1,0.112977
161,1,0.100312
162,1,0.126021
163,1,0.116511
164,1,0.130969
165,1,0.129647
166,1,0.117627
167,1,0.106227
168,1,0.125989
169,1,0.136920
170,1,0.112386
171,1,0.139121
172,1,0.128027
173,1,0.131511
174,1,0.132966
175,1,0.104289
176,1,0.111603
177,1,0.132804
178,1,0.096431
179,1,0.107035
180,1,0.112311
181,1,0.117008
182,1,0.112375
183,1,0.106843
184,1,0.130539
185,1,0.136352
186,1,0.109594
187,1,0.094413
188,1,0.103045
189,1,0.111893
190,1,0.098018
191,1,0.111528
192,1,0.100776
193,1,0.080988
194,1,0.111438
195,1,0.102688
196,1,0.114860
197,1,0.114692
198,1,0.104170
199,1,0.103434
200,1,0.102825
201,1,0.104963
202,1,0.117765
203,1,0.110167
204,1,0.114679
205,1,0.082737
206,1,0.121733
207,1,0.105124
208,1,0.113627
209,1,0.114631
210,1,0.077822
211,1,0.143419
212,1,0.106190
213,1,0.092242
214,1,0.123689
215,1,0.104918
216,1,0.103315
217,1,0.092252
218,1,0.083392
219,1,0.080467
220,1,0.102245
221,1,0.103154
222,1,0.099108
223,1,0.135169
224,1,0.109030
225,1,0.086610
226,1,0.106135
227,1,0.110341
228,1,0.091528
229,1,0.113391
230,1,0.107953
231,1,0.087306
232,1,0.092650
233,1,0.112419
234,1,0.096837
235,1,0.095636
236,1,0.092758
237,1,0.101448
238,1,0.104468
239,1,0.085694
240,1,0.125210
241,1,0.092974
242,1,0.111853
243,1,0.095045
244,1,0.087928
245,1,0.093570
246,1,0.099784
247,1,0.118674
248,1,0.087837
